ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
515,101104,2012-12-27,15,16,27,30,35,36,2
516,101105,2012-12-31,15,22,24,28,29,36,2
517,102001,2013-01-03,3,4,6,17,29,35,7
518,102002,2013-01-07,1,10,17,22,24,26,7
519,102003,2013-01-10,2,4,13,16,18,29,5
520,102004,2013-01-14,3,5,10,23,29,30,2
521,102005,2013-01-17,3,8,9,15,16,25,5
522,102006,2013-01-21,1,5,11,14,22,36,1
523,102007,2013-01-24,5,8,10,22,26,38,2
524,102008,2013-01-28,3,8,22,26,27,29,5
525,102009,2013-01-31,3,15,22,28,31,37,8
526,102010,2013-02-04,6,10,12,19,30,32,5
527,102011,2013-02-07,3,9,15,23,26,37,2
528,102012,2013-02-11,1,9,19,29,32,36,5
529,102013,2013-02-14,13,14,16,22,31,32,3
530,102014,2013-02-18,2,3,19,31,32,35,1
531,102015,2013-02-21,21,24,32,35,37,38,5
