ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
430,101019,2012-03-05,15,11,27,6,21,26,3
431,101020,2012-03-08,9,12,23,37,11,28,4
432,101021,2012-03-12,9,22,23,3,13,37,1
433,101022,2012-03-15,17,37,4,12,29,20,3
434,101023,2012-03-19,21,34,17,9,26,18,1
435,101024,2012-03-22,14,34,35,15,10,12,6
436,101025,2012-03-26,25,3,12,23,1,21,2
437,101026,2012-03-29,8,22,32,15,26,17,1
438,101027,2012-04-02,15,1,11,29,38,18,1
439,101028,2012-04-05,8,32,36,35,23,9,7
440,101029,2012-04-09,1,10,19,31,24,21,5
441,101030,2012-04-12,30,32,35,27,26,6,2
442,101031,2012-04-16,13,27,3,25,18,4,1
443,101032,2012-04-19,10,5,12,26,38,35,2
444,101033,2012-04-23,35,16,17,11,19,1,5
445,101034,2012-04-26,35,3,4,17,2,14,1
446,101035,2012-04-30,22,3,18,5,27,37,1
447,101036,2012-05-03,17,15,34,9,4,10,3
448,101037,2012-05-07,18,22,23,25,2,13,4
449,101038,2012-05-10,21,14,37,32,25,20,3
450,101039,2012-05-14,6,4,5,28,16,18,1
451,101040,2012-05-17,21,28,25,6,29,15,4
452,101041,2012-05-21,19,38,13,11,31,23,3
453,101042,2012-05-24,12,10,36,29,6,1,4
454,101043,2012-05-28,31,22,7,35,17,16,2
455,101044,2012-05-31,7,21,17,15,3,34,8
456,101045,2012-06-04,15,38,18,29,34,4,4
457,101046,2012-06-07,8,20,12,30,27,29,1
458,101047,2012-06-11,33,22,7,26,29,17,7
459,101048,2012-06-14,36,16,14,15,3,20,5
460,101049,2012-06-18,21,24,34,13,14,8,6
461,101050,2012-06-21,4,28,37,26,38,16,1
462,101051,2012-06-25,30,24,1,16,15,26,5
463,101052,2012-06-28,35,16,25,15,31,37,4
464,101053,2012-07-02,7,37,3,35,21,38,3
465,101054,2012-07-05,17,29,6,2,38,4,8
466,101055,2012-07-09,30,8,1,6,32,35,6
467,101056,2012-07-12,34,36,20,15,22,10,5
